,url,rated,time_class,time_control,start_time,game_time,played,rating,opponent,opponent_rating,result,info
77,https://www.chess.com/game/daily/132686696,True,daily,1/86400,2016-04-03 02:46:14,41642.0,white,1304,sjbdkd,1214,win,resigned
78,https://www.chess.com/game/daily/132714826,True,daily,1/86400,2016-04-03 14:35:58,40820.0,white,1324,Jro68,1323,win,resigned
79,https://www.chess.com/game/daily/132759240,False,daily,1/86400,2016-04-04 03:33:55,24270.0,white,1083,RadioActiveRabbit,1009,win,resigned
80,https://www.chess.com/game/daily/132759234,True,daily,1/86400,2016-04-04 03:33:46,36705.0,black,1307,RadioActiveRabbit,1342,loss,resigned
81,https://www.chess.com/game/daily/132758094,True,daily,1/86400,2016-04-04 02:58:34,96442.0,black,1289,joeyfangs,1289,loss,resigned
82,https://www.chess.com/game/daily/132837816,False,daily,1/86400,2016-04-05 05:31:44,5466.0,black,1289,RadioActiveRabbit,1342,win,checkmated
83,https://www.chess.com/game/daily/132837822,False,daily,1/86400,2016-04-05 05:31:48,6351.0,white,1083,RadioActiveRabbit,1009,win,resigned
84,https://www.chess.com/game/live/1527716184,True,rapid,1800,,,black,919,michaellee,1217,loss,resigned
85,https://www.chess.com/game/live/1527721584,True,rapid,1800,,,black,875,hamdifiras757,1207,loss,resigned
86,https://www.chess.com/game/daily/132703478,True,daily,1/86400,2016-04-03 10:09:56,184151.0,black,1276,AviviDay,1402,loss,checkmated
87,https://www.chess.com/game/daily/132844168,True,daily,1/86400,2016-04-05 07:47:25,106272.0,black,1293,RadioActiveRabbit,1283,win,checkmated
88,https://www.chess.com/game/daily/132974248,True,daily,1/86400,2016-04-06 23:29:13,8693.0,white,1279,RadioActiveRabbit,1327,loss,resigned
89,https://www.chess.com/game/daily/132699480,True,daily,1/86400,2016-04-03 08:24:46,333213.0,white,1261,rambooooooo7,1215,loss,resigned
90,https://www.chess.com/game/daily/133002370,True,daily,1/86400,2016-04-07 09:17:39,7584.0,black,1272,rambooooooo7,1181,win,checkmated
91,https://www.chess.com/game/daily/132974256,False,daily,1/86400,2016-04-06 23:29:21,93240.0,black,1083,RadioActiveRabbit,1009,draw,agreed
92,https://www.chess.com/game/daily/132630270,True,daily,1/86400,2016-04-02 08:50:30,577100.0,white,1140,ss29,1114,win,checkmated
93,https://www.chess.com/game/daily/132630250,True,daily,1/86400,2016-04-02 08:50:10,584843.0,black,1282,ss29,1169,win,checkmated
94,https://www.chess.com/game/daily/133131480,True,daily,1/86400,2016-04-09 02:19:04,163256.0,black,1270,Malloyford,1325,loss,checkmated
95,https://www.chess.com/game/daily/133131468,True,daily,1/86400,2016-04-09 02:18:49,247299.0,white,1278,quicksilvar55,1071,win,timeout
96,https://www.chess.com/game/daily/132992088,True,daily,1/86400,2016-04-07 04:56:47,419299.0,black,1274,Flaccidmoves,1586,loss,checkmated
97,https://www.chess.com/game/daily/133345186,True,daily,1/86400,2016-04-12 01:39:16,41196.0,black,1256,Mirimsan,1053,loss,resigned
98,https://www.chess.com/game/daily/133416936,True,daily,1/86400,2016-04-13 00:32:52,15819.0,white,1263,Mirimsan,1044,win,checkmated
99,https://www.chess.com/game/daily/133291286,True,daily,1/86400,2016-04-11 10:42:56,158504.0,white,1254,bhavinsudani,1388,loss,checkmated
100,https://www.chess.com/game/daily/132847574,True,daily,1/86400,2016-04-05 09:29:07,683472.0,white,1244,zedge89,1301,loss,resigned
101,https://www.chess.com/game/daily/133433592,True,daily,1/86400,2016-04-13 07:10:03,728.0,black,1256,drlec,1243,win,resigned
102,https://www.chess.com/game/daily/133434010,True,daily,1/86400,2016-04-13 07:22:53,5489.0,white,1245,drlec,1253,loss,resigned
103,https://www.chess.com/game/daily/133437288,True,daily,1/86400,2016-04-13 08:56:30,8899.0,black,1256,drlec,1250,win,checkmated
104,https://www.chess.com/game/daily/133014458,True,daily,1/86400,2016-04-07 13:43:03,569807.0,white,1243,AlbertoArgos,1167,loss,resigned
105,https://www.chess.com/game/daily/133494020,False,daily,1/86400,2016-04-14 02:05:18,9437.0,white,1140,RadioActiveRabbit,1009,loss,resigned
106,https://www.chess.com/game/daily/133499594,True,daily,1/86400,2016-04-14 04:45:22,19641.0,black,1140,ameer156sara,800,win,resigned
107,https://www.chess.com/game/daily/133435874,True,daily,1/86400,2016-04-13 08:19:35,93204.0,white,1253,BY9,1212,win,checkmated
108,https://www.chess.com/game/daily/133443412,True,daily,1/86400,2016-04-13 11:48:58,90497.0,white,1243,drlec,1268,loss,resigned
109,https://www.chess.com/game/daily/133435188,True,daily,1/86400,2016-04-13 07:56:53,105500.0,black,1247,TheLegendDarkness,982,win,timeout
